@relation BILANCIAdataset400NUOVO-weka.filters.unsupervised.attribute.NominalToString-Cfirst

@attribute descr string
@attribute Puzzle numeric
@attribute Adventure numeric
@attribute Action numeric
@attribute RPG numeric
@attribute Simulation numeric
@attribute Strategy numeric
@attribute Shooter numeric
@attribute Sports numeric
@attribute Racing numeric
@attribute Educational numeric
@attribute Fighting numeric
@attribute BoardGames numeric

@data
' uniqu gameplay best graphic sinc graphic creation friend famili said game fun featur paus button mouth made sound learn gare nord music abstract ',0,0,1,0,0,0,1,0,0,0,1,0
' never get ball stuck behind peski tree skyscrap ever robot golf fast pace arcad golf game get control imposs larg robot quest par swing golf club smash even tallest build way way robot golf buddi four player hit green citi mountain orbit moon compris robot golf tour circuit either split screen onlin bud robot golf pilot play frantic real time golf classic turn base action even custom ruleset craft custom robot golf round look someth solo robot golf uniqu campaign mode reveal real stori experi today robot golf pilot experi excit romanc thrill control one hundr feet raw golf power cheapest inspir mecha anim ever commit screen game featur foot robot play golf play four robot golfer either split screen onlin real time fulli voic game commentari brother brother host justin mcelroy travi mcelroy griffin mcelroy destroy obstacl clear path par hinder oppon shot uniqu solo campaign mode tell excit love intrigu pro robot golf circuit style budget cutscen play citi moon ocean ',0,0,1,0,0,0,0,1,0,0,1,0
' game play onlin keyboard control arrow key awsd press reset game select game sometim use key ',0,0,1,0,0,0,0,0,0,0,1,0
' would like introduc first game box xes box battl platform game retro style defeat enemi box turn art slight violent gori know pleas visit box web page current game alpha updat game continu content worri game purchas usd upgrad free steam key greenlit want know web site facebook twitter ',0,0,1,0,0,0,0,0,0,0,1,0
' game submiss communiti game jam theme game liar control explain game hope enjoy ',0,0,1,0,0,0,0,0,0,0,1,0
' sacrific sludqh thiss two player top fight game wherein fighter must wrestl game singl attack weapon surviv order play game need two control friend enemi work control mandatori game submiss dean cohen aaron christensen game maker toolkit jam theme one case sole method attack fight game take control weapon avail sacrifici knife ugli brutal god sludqh thiss yes probabl pronounc right hope enjoy submiss much enjoy creat read bellow descript game play vile god sludqh thiss demand sacrific combat cultist happi appeas catch god knife may perform kill combat fair arena one weapon start sludqh drop knife fight pit first reach offens cultist may run around pit pleas left trigger perform short sprint combat may use either gain distanc close gap kill unarm right trigger perform parri expert execut take damag disarm oppon knife trade hand possess knife right trigger make player lung forward attack oppon first score three hit win ',0,0,1,0,0,0,0,0,0,0,1,0
' ruin fallen adal empir awaken mysteri mask face faint recollect esoter ceremoni free hunger thirst even death mask creation guid ruler land place determin whether worthi becom part elit corp absolv wander forsaken land encount prospect like learn new combat style acquir weapon gear armor build team warrior fight side side arena combat pleas visit offici absolv faq steam discuss board inform fluid real time combat posit one four tactic stanc real time battl execut devast attack dodg parri movement becom weapon engag solo duel intens multiplay mele battl customiz style flow player defin charact playstyl pick combat style weapon choic arrang attack combat deck design uniqu person attack flow onlin multiplay action narrat prospect absolv seamless encount other world generat uniqu stori emerg player interact choic moment fill tension intent battl befriend never clear trust alway leap faith encount last consequ transform meaning relationship make friend enemi find mentor discipl pvp pve explor rich dynam world includ dedic pvp battl arena champion receiv spoil victori progress rank absolv pve area player cooper battl retriev rare loot equip ruin adal absolv content updat develop team sloclap dedic improv expand absolv base communiti feedback game live come week month prospect expect regular updat game fix issu appear well minor major content updat updat alreadi includ game mode spectat mode soon launch mani updat expect new combat style move new power equip pleas follow updat absolv com absolv twitter latest ',0,1,1,0,0,0,0,0,0,0,1,0
' game overview abyss game smooth oper experi origin game stori someon want clam find begin heart modern citi life peopl often lose dream fast pace life want describ ball like someon resist kind temptat need overcom social network anxious life desir depth break obstacl game earli test status may unfriend bug new player hope play player get control introduct player use keyboard mous oper button control left right movement ball avoid enemi obstacl left mous button press shield summon player enter bullet time absorb enemi bullet mous move control orient shield releas shield bullet shoot direct shield destroy enemi also use xbox control left stick control left right movement ball call shield enter bullet time point left stick control direct shield note bullet time energi limit player respond bullet time energi touch floor kill enemi player blood volum limit normal monster attack littl damag time sniper track monster attack three damag time player restor blood volum kill monster made game easter egg custom clearanc scene hope find interest level question contact leonmi yeah net team member programm chen shuaim cuz programm cicong zju art design jintao cuz art design cai jian buct art design zhang anda immu ',0,0,1,0,0,0,0,0,0,0,1,0
' aggressor dark kombat fight game releas snk pick one eight intens fighter battl accomplish goal use full play field dash combin fierc attack intens unrestrict battl win techniqu forc experi true rampag battl aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game titl base mvs neogeo arcad version may differ version version home neogeo consol home consol ',0,0,1,0,0,0,0,0,0,0,1,0
' ninja combat action game releas snk order defeat evil ninja clan kage ichizoku justic seek ninja head toward ninja tower enjoy battl wide array weapon ninja magic well abil friend join action aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game ',0,0,1,0,0,0,0,0,0,0,1,0
